title,storyline,description,directors,writers,cast,tagline,genres
Dracula: Dead and Loving It,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman","['Leslie Nielsen (Unknown Role)', 'Mel Brooks (Unknown Role)', 'Peter MacNicol (Unknown Role)', 'Steven Weber (Unknown Role)', 'Amy Yasbeck (Unknown Role)']",Tagline not available,Comedy|Horror
Balto,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.","An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",Simon Wells,"Cliff Ruby, Elana Lesser, David Steven Cohen","['Kevin Bacon (Unknown Role)', 'Bob Hoskins (Unknown Role)', 'Bridget Fonda (Unknown Role)', 'Jim Cummings (Unknown Role)', 'Phil Collins (Unknown Role)']",Tagline not available,Animation|Children's
Nixon,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.","A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",Oliver Stone,"Stephen J. Rivele, Christopher Wilkinson, Oliver Stone","['Anthony Hopkins (Unknown Role)', 'Joan Allen (Unknown Role)', 'Powers Boothe (Unknown Role)', 'Ed Harris (Unknown Role)', 'Bob Hoskins (Unknown Role)']",Tagline not available,Drama
Cutthroat Island,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,Renny Harlin,"Michael Frost Beckner, James Gorman, Bruce A. Evans","['Geena Davis (Unknown Role)', 'Matthew Modine (Unknown Role)', 'Frank Langella (Unknown Role)', 'Maury Chaykin (Unknown Role)', 'Patrick Malahide (Unknown Role)']",Tagline not available,Action|Adventure|Romance
Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese","['Robert De Niro (Unknown Role)', 'Sharon Stone (Unknown Role)', 'Joe Pesci (Unknown Role)', 'James Woods (Unknown Role)', 'Don Rickles (Unknown Role)']",Tagline not available,Drama|Thriller
Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The older two daughters are the title opposites.",Ang Lee,"Jane Austen, Emma Thompson","['Emma Thompson (Unknown Role)', 'Kate Winslet (Unknown Role)', 'James Fleet (Unknown Role)', 'Tom Wilkinson (Unknown Role)', 'Harriet Walter (Unknown Role)']",Tagline not available,Drama|Romance
Four Rooms,Four interlocking tales that take place in a fading hotel on New Year's Eve.,Four interlocking tales that take place in a fading hotel on New Year's Eve.,"Allison Anders, Alexandre Rockwell, Robert Rodriguez","Allison Anders, Alexandre Rockwell, Robert Rodriguez","['Tim Roth (Unknown Role)', 'Antonio Banderas (Unknown Role)', 'Sammi Davis (Unknown Role)', 'Amanda De Cadenet (Unknown Role)', 'Valeria Golino (Unknown Role)']",Tagline not available,Thriller
Ace Ventura: When Nature Calls,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",Steve Oedekerk,"Jack Bernstein, Steve Oedekerk","['Jim Carrey (Unknown Role)', 'Ian McNeice (Unknown Role)', 'Simon Callow (Unknown Role)', 'Maynard Eziashi (Unknown Role)', 'Bob Gunton (Unknown Role)']",Tagline not available,Comedy
Money Train,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.","A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",Joseph Ruben,"Doug Richardson, David Loughery","['Wesley Snipes (Unknown Role)', 'Woody Harrelson (Unknown Role)', 'Jennifer Lopez (Unknown Role)', 'Robert Blake (Unknown Role)', 'Chris Cooper (Unknown Role)']",Tagline not available,Action
Get Shorty,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,A mobster travels from Florida to Hollywood to collect a debt and discovers that the movie business is just as sleazy as the Miami underworld.,Barry Sonnenfeld,"Elmore Leonard, Scott Frank","['Gene Hackman (Unknown Role)', 'Rene Russo (Unknown Role)', 'Danny DeVito (Unknown Role)', 'John Travolta (Unknown Role)', 'Dennis Farina (Unknown Role)']",Tagline not available,Action|Comedy|Drama
Copycat,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,A criminal psychologist who turned agoraphobic after a murder attempt agrees to help two San Francisco detectives hunt for a copycat serial killer who intends on making her his next victim.,Jon Amiel,"Ann Biderman, David Madsen","['Sigourney Weaver (Unknown Role)', 'Holly Hunter (Unknown Role)', 'Dermot Mulroney (Unknown Role)', 'William McNamara (Unknown Role)', 'Harry Connick Jr. (Unknown Role)']",Tagline not available,Crime|Drama|Thriller
Assassins,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Richard Donner,"Lilly Wachowski, Lana Wachowski, Brian Helgeland","['Sylvester Stallone (Unknown Role)', 'Antonio Banderas (Unknown Role)', 'Julianne Moore (Unknown Role)', 'Anatoli Davydov (Unknown Role)', 'Muse Watson (Unknown Role)']",Tagline not available,Thriller
Powder,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,An off-the-charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Victor Salva,Victor Salva,"['Mary Steenburgen (Unknown Role)', 'Sean Patrick Flanery (Unknown Role)', 'Lance Henriksen (Unknown Role)', 'Jeff Goldblum (Unknown Role)', 'Brandon Smith (Unknown Role)']",Tagline not available,Drama|Sci-Fi
Leaving Las Vegas,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Mike Figgis,"John O&apos;Brien, Mike Figgis","['Nicolas Cage (Unknown Role)', 'Elisabeth Shue (Unknown Role)', 'Julian Sands (Unknown Role)', 'Richard Lewis (Unknown Role)', 'Steven Weber (Unknown Role)']",Tagline not available,Drama|Romance
Othello,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.","The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",Oliver Parker,"Oliver Parker, William Shakespeare","['Laurence Fishburne (Unknown Role)', 'Kenneth Branagh (Unknown Role)', 'Irène Jacob (Unknown Role)', 'Nathaniel Parker (Unknown Role)', 'Michael Maloney (Unknown Role)']",Tagline not available,Drama
Now and Then,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,Four childhood friends gather together to prepare for the birth of Chrissey's baby. They wonder how the girls they were at twelve years could possibly have become the women they are now.,Lesli Linka Glatter,I. Marlene King,"['Christina Ricci (Unknown Role)', 'Demi Moore (Unknown Role)', ""Rosie O'Donnell (Unknown Role)"", 'Thora Birch (Unknown Role)', 'Melanie Griffith (Unknown Role)']",Tagline not available,Drama
Persuasion,"Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?","Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?",Carrie Cracknell,"Ron Bass, Alice Victoria Winslow, Jane Austen","['Richard E. Grant (Unknown Role)', 'Henry Golding (Unknown Role)', 'Ben Bailey Smith (Unknown Role)', 'Yolanda Kettle (Unknown Role)', 'Dakota Johnson (Unknown Role)']",Tagline not available,Romance
La cité des enfants perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Marc Caro, Jean-Pierre Jeunet","Gilles Adrien, Jean-Pierre Jeunet, Marc Caro","['Ron Perlman (Unknown Role)', 'Daniel Emilfork (Unknown Role)', 'Judith Vittet (Unknown Role)', 'Dominique Pinon (Unknown Role)', 'Jean-Claude Dreyfus (Unknown Role)']",Tagline not available,Adventure|Sci-Fi
"Yao a yao, yao dao wai po qiao",A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Yimou Zhang,"Feiyu Bi, Bin Wang, Li Xiao","['Gong Li (Unknown Role)', 'Baotian Li (Unknown Role)', 'Xiaoxiao Wang (Unknown Role)', 'Xuejian Li (Unknown Role)', 'Chun Sun (Unknown Role)']",Tagline not available,Drama
Dangerous Minds,"LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.","LouAnne, a retired US marine, becomes a teacher in a Californian high school. But her mostly Latino and black students from an impoverished and racially segregated locality do not easily embrace her.",John N. Smith,"LouAnne Johnson, Ron Bass","['Michelle Pfeiffer (Unknown Role)', 'George Dzundza (Unknown Role)', 'Courtney B. Vance (Unknown Role)', 'Robin Bartlett (Unknown Role)', 'Beatrice Winde (Unknown Role)']",Tagline not available,Drama
Twelve Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.","In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Terry Gilliam,"Chris Marker, David Webb Peoples, Janet Peoples","['Bruce Willis (Unknown Role)', 'Madeleine Stowe (Unknown Role)', 'Brad Pitt (Unknown Role)', 'Joseph Melito (Unknown Role)', 'Jon Seda (Unknown Role)']",Tagline not available,Drama|Sci-Fi
Wings of Courage,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.","While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",Jean-Jacques Annaud,"Alain Godard, Jean-Jacques Annaud","['Craig Sheffer (Unknown Role)', 'Elizabeth McGovern (Unknown Role)', 'Tom Hulce (Unknown Role)', 'Val Kilmer (Unknown Role)', 'Ken Pogue (Unknown Role)']",Tagline not available,Adventure|Romance
Babe,"Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...","Gentle farmer Arthur Hoggett wins a piglet Babe at a county fair. Narrowly escaping his fate as Christmas dinner, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other animals acce...",Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan","['James Cromwell (Unknown Role)', 'Magda Szubanski (Unknown Role)', 'Christine Cavanaugh (Unknown Role)', 'Miriam Margolyes (Unknown Role)', 'Danny Mann (Unknown Role)']",Tagline not available,Children's|Comedy|Drama
Carrington,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early twentieth century.,Christopher Hampton,"Christopher Hampton, Michael Holroyd","['Emma Thompson (Unknown Role)', 'Jonathan Pryce (Unknown Role)', 'Steven Waddington (Unknown Role)', 'Samuel West (Unknown Role)', 'Rufus Sewell (Unknown Role)']",Tagline not available,Drama|Romance
Dead Man Walking,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.","A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Tim Robbins,"Helen Prejean, Tim Robbins","['Susan Sarandon (Unknown Role)', 'Sean Penn (Unknown Role)', 'Robert Prosky (Unknown Role)', 'Raymond J. Barry (Unknown Role)', 'R. Lee Ermey (Unknown Role)']",Tagline not available,Drama
Across the Sea of Time,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...","A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is sear...",Stephen Low,Andrew Gellis,"['Peter Reznick (Unknown Role)', 'John McDonough (Unknown Role)', 'Avi Hoffman (Unknown Role)', 'Victor Steinbach (Unknown Role)', 'Peter Boyden (Unknown Role)']",Tagline not available,Documentary
It Takes Two,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.","Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",Andy Tennant,Deborah Dean Davis,"['Kirstie Alley (Unknown Role)', 'Steve Guttenberg (Unknown Role)', 'Mary-Kate Olsen (Unknown Role)', 'Ashley Olsen (Unknown Role)', 'Philip Bosco (Unknown Role)']",Tagline not available,Comedy
Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Amy Heckerling,Amy Heckerling,"['Alicia Silverstone (Unknown Role)', 'Stacey Dash (Unknown Role)', 'Brittany Murphy (Unknown Role)', 'Paul Rudd (Unknown Role)', 'Donald Faison (Unknown Role)']",Tagline not available,Comedy|Romance
"Cry, the Beloved Country","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",Darrell Roodt,"Ronald Harwood, Alan Paton","['Richard Harris (Unknown Role)', 'James Earl Jones (Unknown Role)', 'Vusi Kunene (Unknown Role)', 'Charles S. Dutton (Unknown Role)', 'Tsholofelo Wechoemang (Unknown Role)']",Tagline not available,Drama
Richard III,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard Loncraine,"Ian McKellen, Richard Loncraine, Richard Eyre","['Ian McKellen (Unknown Role)', 'Annette Bening (Unknown Role)', 'Christopher Bowen (Unknown Role)', 'Edward Jewesbury (Unknown Role)', 'Bill Paterson (Unknown Role)']",Tagline not available,Drama|War
Dead Presidents,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.","Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes, Michael Henry Brown","['Larenz Tate (Unknown Role)', 'Keith David (Unknown Role)', 'Chris Tucker (Unknown Role)', 'Freddy Rodríguez (Unknown Role)', 'Rose Jackson (Unknown Role)']",Tagline not available,Action|Crime|Drama
Restoration,"The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.","The exiled royal doctor to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Michael Hoffman,"Rose Tremain, Rupert Walters","['Robert Downey Jr. (Unknown Role)', 'Sam Neill (Unknown Role)', 'David Thewlis (Unknown Role)', 'Polly Walker (Unknown Role)', 'Meg Ryan (Unknown Role)']",Tagline not available,Drama
Mortal Kombat II,,,Simon McQuoid,"Jeremy Slater, Ed Boon, John Tobias","['Tati Gabrielle (Unknown Role)', 'Karl Urban (Unknown Role)', 'Hiroyuki Sanada (Unknown Role)', 'Damon Herriman (Unknown Role)', 'Tadanobu Asano (Unknown Role)']",Tagline not available,Action|Adventure
To Die For,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,Gus Van Sant,"Joyce Maynard, Buck Henry","['Nicole Kidman (Unknown Role)', 'Matt Dillon (Unknown Role)', 'Joaquin Phoenix (Unknown Role)', 'Casey Affleck (Unknown Role)', 'Illeana Douglas (Unknown Role)']",Tagline not available,Comedy|Drama
How to Make an American Quilt,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,Jocelyn Moorhouse,"Whitney Otto, Jane Anderson","['Winona Ryder (Unknown Role)', 'Ellen Burstyn (Unknown Role)', 'Anne Bancroft (Unknown Role)', 'Kaelynn Craddick (Unknown Role)', 'Sara Craddick (Unknown Role)']",Tagline not available,Drama|Romance
Se7en. Los 7 pecados capitales de provincia,"A spoof of the movie &quot;Se7en&quot;. Lieutenant Zapatero, is on his way to retirement and the inspector Rajoy, who will take his place at the police station, will meet a serial killer whose business cards in each crime coincide with one ...","A spoof of the movie &quot;Se7en&quot;. Lieutenant Zapatero, is on his way to retirement and the inspector Rajoy, who will take his place at the police station, will meet a serial killer whose business cards in each crime coincide with one ...","José Mota, Rodrigo Sopeña","Luis Lázaro, Alberto Papa-Fragomen, Chema Lorite","['José Mota (Unknown Role)', 'Eva Armenteros (Unknown Role)', 'Angy Fernández (Unknown Role)', 'Mónica Carrillo (Unknown Role)', 'Juan Ramón Lucas (Unknown Role)']",Tagline not available,Crime|Thriller
Pocahontas,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Mike Gabriel, Eric Goldberg","Carl Binder, Susannah Grant, Philip LaZebnik","['Mel Gibson (Unknown Role)', 'Linda Hunt (Unknown Role)', 'Christian Bale (Unknown Role)', 'Joe Baker (Unknown Role)', 'Irene Bedard (Unknown Role)']",Tagline not available,Animation|Children's|Musical|Romance
When Night Is Falling,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.","An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",Patricia Rozema,Patricia Rozema,"['Pascale Bussières (Unknown Role)', 'Rachael Crawford (Unknown Role)', 'Henry Czerny (Unknown Role)', 'David Fox (Unknown Role)', 'Don McKellar (Unknown Role)']",Tagline not available,Drama|Romance
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,Bryan Singer,Christopher McQuarrie,"['Kevin Spacey (Unknown Role)', 'Gabriel Byrne (Unknown Role)', 'Chazz Palminteri (Unknown Role)', 'Stephen Baldwin (Unknown Role)', 'Benicio Del Toro (Unknown Role)']",Tagline not available,Crime|Thriller
Guardian Angel,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.","A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective's lover just months before.",Richard W. Munchkin,Jacobsen Hart,"['Cynthia Rothrock (Unknown Role)', 'Daniel McVicar (Unknown Role)', 'Lydie Denier (Unknown Role)', 'Marshall R. Teague (Unknown Role)', 'Ken McLeod (Unknown Role)']",Tagline not available,Action|Drama|Thriller
Mighty Aphrodite,"When he discovers that his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother - a ditzy porn star and prostitute.","When he discovers that his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother - a ditzy porn star and prostitute.",Woody Allen,Woody Allen,"['Woody Allen (Unknown Role)', 'Mira Sorvino (Unknown Role)', 'Pamela Blair (Unknown Role)', 'Rene Ceballos (Unknown Role)', 'Elie Chaib (Unknown Role)']",Tagline not available,Comedy
Lamerica,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...","Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets...",Gianni Amelio,"Gianni Amelio, Andrea Porporati, Alessandro Sermoneta","['Enrico Lo Verso (Unknown Role)', 'Michele Placido (Unknown Role)', 'Piro Milkani (Unknown Role)', 'Carmelo Di Mazzarelli (Unknown Role)', 'Elida Janushi (Unknown Role)']",Tagline not available,Drama
The Big Green,"A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.","A teacher on exchange from England is placed in an underachieving Texas school, where she coaches the students in soccer, improving their self-esteem and leading to unexpected success.",Holly Goldberg Sloan,Holly Goldberg Sloan,"['Steve Guttenberg (Unknown Role)', ""Olivia d'Abo (Unknown Role)"", 'Jay O. Sanders (Unknown Role)', 'John Terry (Unknown Role)', 'Chauncey Leopardi (Unknown Role)']",Tagline not available,Children's|Comedy
Ginny &amp; Georgia,"Angsty 15-year-old Ginny Miller often feels more mature than her 30-year-old mother, the irresistible and dynamic Georgia Miller.","Angsty 15-year-old Ginny Miller often feels more mature than her 30-year-old mother, the irresistible and dynamic Georgia Miller.",Director not available,Sarah Lampert,"['Brianne Howey (Unknown Role)', 'Antonia Gentry (Unknown Role)', 'Felix Mallard (Unknown Role)', 'Sara Waisglass (Unknown Role)', 'Katie Douglas (Unknown Role)']",Tagline not available,Drama
