user_id,gender,age,occupation,watched_count,a_optimal_k,b_optimal_k,c_optimal_k,avg_count_all,avg_count_genre_only,avg_count_no_genre
221,F,25,0,19,5,3,5,3.8,6.33,3.8
222,M,25,1,59,7,6,7,8.43,9.83,8.43
223,M,25,17,178,4,5,4,44.5,35.6,44.5
224,F,18,4,130,6,6,7,21.67,21.67,18.57
225,M,25,7,333,9,7,9,37.0,47.57,37.0
226,M,35,1,14,2,4,2,7.0,3.5,7.0
227,M,35,20,22,6,4,6,3.67,5.5,3.67
228,M,25,15,21,7,7,7,3.0,3.0,3.0
229,M,18,10,158,7,8,7,22.57,19.75,22.57
230,M,45,1,108,4,5,4,27.0,21.6,27.0
231,M,25,3,60,8,9,8,7.5,6.67,7.5
232,M,25,20,61,9,6,9,6.78,10.17,6.78
233,F,45,20,42,3,6,3,14.0,7.0,14.0
234,M,35,7,15,5,6,5,3.0,2.5,3.0
235,M,25,0,260,8,4,8,32.5,65.0,32.5
236,M,25,5,44,8,8,8,5.5,5.5,5.5
237,M,25,6,118,5,8,8,23.6,14.75,14.75
238,F,50,7,152,7,8,7,21.71,19.0,21.71
239,M,18,19,46,6,7,6,7.67,6.57,7.67
240,M,50,17,95,5,8,5,19.0,11.88,19.0
241,M,35,20,35,7,7,7,5.0,5.0,5.0
242,F,18,4,178,7,7,6,25.43,25.43,29.67
243,M,25,16,19,8,8,8,2.38,2.38,2.38
244,M,50,7,57,7,7,7,8.14,8.14,8.14
245,M,35,16,498,7,3,5,71.14,166.0,99.6
246,F,18,4,21,7,5,7,3.0,4.2,3.0
247,M,25,17,22,2,4,2,11.0,5.5,11.0
248,M,18,17,24,3,7,3,8.0,3.43,8.0
249,F,18,14,74,5,6,5,14.8,12.33,14.8
250,M,35,16,17,3,6,3,5.67,2.83,5.67
251,M,56,17,48,7,3,7,6.86,16.0,6.86
252,M,25,12,35,2,2,2,17.5,17.5,17.5
253,F,25,11,29,2,5,2,14.5,5.8,14.5
254,M,35,17,14,5,7,5,2.8,2.0,2.8
255,M,35,0,151,6,8,6,25.17,18.88,25.17
256,M,45,16,64,3,6,3,21.33,10.67,21.33
257,M,18,18,41,6,4,6,6.83,10.25,6.83
258,M,25,7,103,8,9,8,12.88,11.44,12.88
259,M,25,1,89,8,2,8,11.12,44.5,11.12
260,M,18,19,104,6,5,6,17.33,20.8,17.33
261,M,25,20,226,8,7,8,28.25,32.29,28.25
262,F,25,1,86,7,9,7,12.29,9.56,12.29
263,F,25,7,69,6,5,6,11.5,13.8,11.5
264,M,35,0,329,7,7,7,47.0,47.0,47.0
265,F,35,7,64,2,3,2,32.0,21.33,32.0
266,M,35,11,33,8,7,8,4.12,4.71,4.12
267,M,45,12,64,7,2,7,9.14,32.0,9.14
268,F,18,12,167,4,8,4,41.75,20.88,41.75
269,M,25,2,19,7,6,7,2.71,3.17,2.71
270,M,50,14,77,7,7,7,11.0,11.0,11.0
271,M,18,4,202,5,5,5,40.4,40.4,40.4
272,M,18,0,338,4,7,4,84.5,48.29,84.5
273,M,18,4,140,3,3,3,46.67,46.67,46.67
274,M,18,4,110,3,3,3,36.67,36.67,36.67
275,M,25,0,61,7,6,7,8.71,10.17,8.71
276,M,45,16,16,7,8,7,2.29,2.0,2.29
277,F,35,1,20,2,2,2,10.0,10.0,10.0
278,M,45,18,115,3,3,3,38.33,38.33,38.33
279,M,25,14,34,9,3,9,3.78,11.33,3.78
280,M,50,7,36,4,2,4,9.0,18.0,9.0
281,F,35,0,62,4,3,4,15.5,20.67,15.5
282,M,25,17,14,3,9,3,4.67,1.56,4.67
283,M,25,0,18,2,6,2,9.0,3.0,9.0
284,M,25,12,316,7,2,7,45.14,158.0,45.14
285,F,35,0,85,2,7,4,42.5,12.14,21.25
286,M,25,1,33,6,7,6,5.5,4.71,5.5
287,M,50,13,63,5,4,5,12.6,15.75,12.6
288,F,25,12,40,2,4,2,20.0,10.0,20.0
289,F,25,0,42,2,6,2,21.0,7.0,21.0
290,F,25,20,24,5,8,5,4.8,3.0,4.8
291,M,35,12,71,2,6,2,35.5,11.83,35.5
292,M,35,7,29,6,9,6,4.83,3.22,4.83
293,M,56,1,195,4,2,7,48.75,97.5,27.86
294,F,45,9,30,2,8,2,15.0,3.75,15.0
295,M,18,0,124,3,4,3,41.33,31.0,41.33
296,M,50,5,54,7,2,7,7.71,27.0,7.71
297,M,18,2,59,3,7,3,19.67,8.43,19.67
298,F,18,4,17,6,5,8,2.83,3.4,2.12
299,M,25,12,62,6,6,6,10.33,10.33,10.33
300,M,25,7,164,8,6,8,20.5,27.33,20.5
301,M,18,4,239,5,2,5,47.8,119.5,47.8
302,M,18,4,549,7,6,7,78.43,91.5,78.43
303,M,25,7,139,5,6,5,27.8,23.17,27.8
304,M,25,0,16,8,2,8,2.0,8.0,2.0
305,F,18,0,94,9,7,9,10.44,13.43,10.44
306,M,18,0,141,7,2,7,20.14,70.5,20.14
307,M,50,16,105,8,6,8,13.12,17.5,13.12
308,M,25,2,362,5,7,8,72.4,51.71,45.25
309,M,25,4,71,8,8,8,8.88,8.88,8.88
310,F,18,4,145,6,7,6,24.17,20.71,24.17
311,M,18,4,11,4,5,4,2.75,2.2,2.75
312,F,50,2,33,7,6,7,4.71,5.5,4.71
313,F,18,4,21,2,3,2,10.5,7.0,10.5
314,F,56,9,180,7,4,7,25.71,45.0,25.71
315,F,56,1,16,6,3,6,2.67,5.33,2.67
316,M,56,13,53,4,8,4,13.25,6.62,13.25
317,M,35,7,17,7,6,7,2.43,2.83,2.43
318,F,56,13,13,9,2,9,1.44,6.5,1.44
319,F,50,6,485,7,7,7,69.29,69.29,69.29
320,M,35,6,15,8,5,8,1.88,3.0,1.88
321,M,18,4,145,6,7,6,24.17,20.71,24.17
322,M,56,17,33,5,5,5,6.6,6.6,6.6
323,M,45,12,85,7,6,7,12.14,14.17,12.14
324,M,35,17,49,2,7,2,24.5,7.0,24.5
325,F,50,3,30,9,7,9,3.33,4.29,3.33
326,M,50,11,248,5,5,4,49.6,49.6,62.0
327,M,35,18,125,5,4,5,25.0,31.25,25.0
328,M,35,12,45,7,6,6,6.43,7.5,7.5
329,M,35,7,511,4,4,4,127.75,127.75,127.75
330,M,56,7,42,3,3,3,14.0,14.0,14.0
331,M,25,7,385,9,8,9,42.78,48.12,42.78
332,M,50,1,32,5,7,5,6.4,4.57,6.4
333,M,35,2,143,9,8,9,15.89,17.88,15.89
334,F,56,2,35,5,7,5,7.0,5.0,7.0
335,M,35,18,99,9,8,9,11.0,12.38,11.0
336,M,18,0,81,7,6,7,11.57,13.5,11.57
337,M,18,19,138,4,8,4,34.5,17.25,34.5
338,M,35,7,243,3,2,3,81.0,121.5,81.0
339,M,50,7,62,7,6,7,8.86,10.33,8.86
340,F,25,3,71,7,2,7,10.14,35.5,10.14
341,F,56,13,15,8,5,8,1.88,3.0,1.88
342,M,18,12,91,4,3,4,22.75,30.33,22.75
343,F,35,3,206,5,3,5,41.2,68.67,41.2
344,M,35,14,70,7,4,7,10.0,17.5,10.0
345,M,25,12,14,6,3,6,2.33,4.67,2.33
346,F,25,0,198,6,9,6,33.0,22.0,33.0
347,F,56,1,67,8,3,8,8.38,22.33,8.38
348,M,50,7,62,6,3,6,10.33,20.67,10.33
349,M,1,10,187,9,7,9,20.78,26.71,20.78
350,M,45,20,39,8,6,8,4.88,6.5,4.88
351,M,18,4,62,2,2,2,31.0,31.0,31.0
352,M,18,4,568,4,4,4,142.0,142.0,142.0
353,F,35,7,15,2,2,2,7.5,7.5,7.5
354,M,35,1,39,2,5,2,19.5,7.8,19.5
355,M,18,3,288,8,7,9,36.0,41.14,32.0
356,M,56,20,12,4,4,4,3.0,3.0,3.0
357,M,18,0,37,6,4,6,6.17,9.25,6.17
358,F,56,1,44,6,3,6,7.33,14.67,7.33
359,M,25,17,42,4,8,4,10.5,5.25,10.5
360,M,35,17,46,3,2,3,15.33,23.0,15.33
361,F,25,14,17,4,9,4,4.25,1.89,4.25
362,M,35,20,35,7,8,7,5.0,4.38,5.0
363,M,18,10,26,5,7,5,5.2,3.71,5.2
364,F,35,1,23,7,2,7,3.29,11.5,3.29
365,F,18,4,32,4,2,4,8.0,16.0,8.0
366,M,50,15,160,9,3,9,17.78,53.33,17.78
367,M,50,12,19,4,2,4,4.75,9.5,4.75
368,M,25,0,210,6,9,6,35.0,23.33,35.0
369,M,35,1,56,7,5,7,8.0,11.2,8.0
370,M,18,17,44,4,2,4,11.0,22.0,11.0
371,M,18,4,52,3,7,3,17.33,7.43,17.33
372,F,18,4,115,8,3,8,14.38,38.33,14.38
373,F,25,2,18,3,2,3,6.0,9.0,6.0
374,F,35,14,42,3,3,3,14.0,14.0,14.0
375,M,25,2,33,4,8,4,8.25,4.12,8.25
376,M,35,1,73,4,9,4,18.25,8.11,18.25
377,M,25,17,92,6,7,6,15.33,13.14,15.33
378,F,18,0,20,8,3,8,2.5,6.67,2.5
379,F,35,1,42,7,3,7,6.0,14.0,6.0
380,M,25,2,95,7,4,7,13.57,23.75,13.57
381,M,35,17,29,3,5,3,9.67,5.8,9.67
382,F,35,20,38,8,9,8,4.75,4.22,4.75
383,F,25,7,12,3,9,3,4.0,1.33,4.0
384,M,25,11,12,6,3,6,2.0,4.0,2.0
385,M,25,6,91,5,5,5,18.2,18.2,18.2
386,M,25,0,182,5,6,5,36.4,30.33,36.4
387,F,35,7,47,4,3,4,11.75,15.67,11.75
388,F,25,0,46,7,6,2,6.57,7.67,23.0
389,M,25,6,46,2,2,2,23.0,23.0,23.0
390,M,25,4,127,6,3,6,21.17,42.33,21.17
391,M,45,11,53,7,3,7,7.57,17.67,7.57
392,M,18,7,318,8,8,8,39.75,39.75,39.75
393,M,35,17,43,7,7,7,6.14,6.14,6.14
394,M,18,0,26,8,9,8,3.25,2.89,3.25
395,M,18,5,15,3,6,3,5.0,2.5,5.0
396,M,25,1,106,3,4,3,35.33,26.5,35.33
397,M,35,17,23,9,6,9,2.56,3.83,2.56
398,M,25,17,144,9,6,9,16.0,24.0,16.0
399,F,35,6,20,3,4,3,6.67,5.0,6.67
400,F,18,3,29,6,7,6,4.83,4.14,4.83
401,M,18,0,68,8,4,8,8.5,17.0,8.5
402,M,25,11,206,9,9,9,22.89,22.89,22.89
403,M,18,4,203,8,5,8,25.38,40.6,25.38
404,M,18,4,35,2,4,2,17.5,8.75,17.5
405,M,56,1,32,6,4,6,5.33,8.0,5.33
406,M,25,20,104,8,4,8,13.0,26.0,13.0
407,M,18,17,19,6,5,6,3.17,3.8,3.17
408,M,25,11,92,2,2,2,46.0,46.0,46.0
409,M,18,12,198,6,7,6,33.0,28.29,33.0
410,F,25,1,68,5,7,5,13.6,9.71,13.6
411,F,45,1,408,6,4,6,68.0,102.0,68.0
412,M,35,15,312,8,7,8,39.0,44.57,39.0
413,M,25,11,66,7,9,7,9.43,7.33,9.43
414,M,25,0,33,5,7,5,6.6,4.71,6.6
415,F,35,0,173,7,5,7,24.71,34.6,24.71
416,M,45,14,42,7,6,7,6.0,7.0,6.0
417,F,25,0,12,4,5,4,3.0,2.4,3.0
418,F,25,3,36,7,6,7,5.14,6.0,5.14
419,M,18,3,74,7,2,7,10.57,37.0,10.57
420,M,35,1,39,7,9,7,5.57,4.33,5.57
421,F,45,3,11,5,3,5,2.2,3.67,2.2
422,M,56,17,30,6,2,6,5.0,15.0,5.0
423,M,18,4,42,9,5,9,4.67,8.4,4.67
424,M,25,17,791,7,3,7,113.0,263.67,113.0
425,M,25,12,122,8,3,8,15.25,40.67,15.25
426,M,18,4,159,9,2,9,17.67,79.5,17.67
427,M,35,12,23,6,7,6,3.83,3.29,3.83
428,F,18,4,32,6,5,6,5.33,6.4,5.33
429,M,18,0,245,5,2,5,49.0,122.5,49.0
430,F,18,10,48,8,6,8,6.0,8.0,6.0
431,M,18,10,57,5,5,5,11.4,11.4,11.4
432,M,45,16,50,8,2,6,6.25,25.0,8.33
433,M,50,6,29,6,5,6,4.83,5.8,4.83
434,F,45,3,24,4,6,4,6.0,4.0,6.0
435,M,25,7,94,2,4,2,47.0,23.5,47.0
436,M,18,4,83,5,4,5,16.6,20.75,16.6
437,M,35,17,34,7,5,3,4.86,6.8,11.33
438,M,18,11,404,7,2,7,57.71,202.0,57.71
439,M,35,14,69,5,5,5,13.8,13.8,13.8
440,M,56,1,19,7,3,7,2.71,6.33,2.71
441,M,35,1,33,6,3,6,5.5,11.0,5.5
442,M,25,1,289,8,9,8,36.12,32.11,36.12
443,M,25,3,18,7,6,7,2.57,3.0,2.57
444,M,56,0,76,8,6,8,9.5,12.67,9.5
445,M,45,12,196,8,3,8,24.5,65.33,24.5
446,F,50,0,24,7,3,7,3.43,8.0,3.43
447,F,45,11,20,7,6,7,2.86,3.33,2.86
448,M,25,17,17,4,4,4,4.25,4.25,4.25
449,M,25,7,30,2,5,2,15.0,6.0,15.0
450,M,45,1,33,7,5,7,4.71,6.6,4.71
451,M,56,13,124,6,3,6,20.67,41.33,20.67
452,M,50,17,75,9,3,9,8.33,25.0,8.33
453,M,18,4,264,8,9,8,33.0,29.33,33.0
454,M,25,20,172,9,8,9,19.11,21.5,19.11
455,F,35,2,19,4,7,4,4.75,2.71,4.75
456,M,35,0,110,7,2,7,15.71,55.0,15.71
457,M,18,4,163,9,5,9,18.11,32.6,18.11
458,M,50,16,27,5,7,5,5.4,3.86,5.4
459,F,18,4,19,7,2,7,2.71,9.5,2.71
460,M,45,18,29,3,3,3,9.67,9.67,9.67
461,M,50,7,355,7,6,7,50.71,59.17,50.71
462,M,18,16,119,8,4,8,14.88,29.75,14.88
463,M,25,7,97,3,6,3,32.33,16.17,32.33
464,F,18,4,48,7,6,7,6.86,8.0,6.86
465,M,18,19,27,9,9,9,3.0,3.0,3.0
466,M,25,5,125,9,7,9,13.89,17.86,13.89
467,F,35,3,47,6,4,6,7.83,11.75,7.83
468,F,1,10,23,2,7,6,11.5,3.29,3.83
469,M,35,6,31,7,4,7,4.43,7.75,4.43
470,F,1,10,51,7,5,7,7.29,10.2,7.29
471,M,35,7,67,7,5,7,9.57,13.4,9.57
472,M,35,0,36,6,3,6,6.0,12.0,6.0
473,F,18,4,36,8,2,8,4.5,18.0,4.5
474,M,25,17,209,6,8,6,34.83,26.12,34.83
475,F,25,2,174,3,8,7,58.0,21.75,24.86
476,M,35,0,294,7,6,7,42.0,49.0,42.0
477,M,35,14,135,8,3,8,16.88,45.0,16.88
478,M,50,16,30,6,8,4,5.0,3.75,7.5
479,M,25,12,66,7,3,7,9.43,22.0,9.43
480,F,18,4,71,6,6,6,11.83,11.83,11.83
481,M,45,7,138,7,8,9,19.71,17.25,15.33
482,M,25,14,562,9,8,9,62.44,70.25,62.44
483,M,18,12,21,5,2,5,4.2,10.5,4.2
484,F,1,10,23,2,3,2,11.5,7.67,11.5
485,M,56,7,35,6,6,6,5.83,5.83,5.83
486,M,56,0,19,7,7,7,2.71,2.71,2.71
487,F,35,17,37,2,8,7,18.5,4.62,5.29
488,M,25,12,16,4,6,4,4.0,2.67,4.0
489,M,18,4,14,4,3,4,3.5,4.67,3.5
490,M,1,10,54,8,6,8,6.75,9.0,6.75
491,M,18,4,19,4,5,4,4.75,3.8,4.75
492,M,25,12,23,7,2,7,3.29,11.5,3.29
493,M,50,7,94,8,6,8,11.75,15.67,11.75
494,F,35,0,127,6,6,6,21.17,21.17,21.17
495,M,18,10,33,2,5,2,16.5,6.6,16.5
