MovieID,OriginalTitle,CleanTitle,IMDb_ID
77,Nico Icon (1995),Nico Icon,tt0113973
78,"Crossing Guard, The (1995)","Crossing Guard, The",tt0112744
79,"Juror, The (1996)","Juror, The",tt0116731
80,"White Balloon, The (Badkonake Sefid ) (1995)","White Balloon, The (Badkonake Sefid )",tt0112445
81,Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead,tt0114660
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),tt0422720
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,tt0114039
84,Last Summer in the Hamptons (1995),Last Summer in the Hamptons,tt0113612
85,Angels and Insects (1995),Angels and Insects,tt0112365
86,White Squall (1996),White Squall,tt0118158
87,Dunston Checks In (1996),Dunston Checks In,tt0116151
88,Black Sheep (1996),Black Sheep,tt0115697
89,Nick of Time (1995),Nick of Time,tt0113972
90,"Journey of August King, The (1995)","Journey of August King, The",tt0113490
92,Mary Reilly (1996),Mary Reilly,tt0117002
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,tt0114825
94,Beautiful Girls (1996),Beautiful Girls,tt0115639
95,Broken Arrow (1996),Broken Arrow,tt0115759
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,tt0113403
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",tt5580266
98,Shopping (1994),Shopping,tt0111173
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,tt0113283
100,City Hall (1996),City Hall,tt0115907
101,Bottle Rocket (1996),Bottle Rocket,tt0115734
102,Mr. Wrong (1996),Mr. Wrong,tt0117102
103,Unforgettable (1996),Unforgettable,tt1842530
104,Happy Gilmore (1996),Happy Gilmore,tt0116483
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",tt0112579
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),tt0110251
107,Muppet Treasure Island (1996),Muppet Treasure Island,tt0117110
108,Catwalk (1995),Catwalk,tt0103384
109,Headless Body in Topless Bar (1995),Headless Body in Topless Bar,tt0113276
110,Braveheart (1995),Braveheart,tt0112573
111,Taxi Driver (1976),Taxi Driver,tt0075314
112,Rumble in the Bronx (1995),Rumble in the Bronx,tt0113326
113,Before and After (1996),Before and After,tt0115645
114,Margaret's Museum (1995),Margaret's Museum,tt0113774
115,Happiness Is in the Field (1995),Happiness Is in the Field,tt0112556
116,Anne Frank Remembered (1995),Anne Frank Remembered,tt0112373
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",tt0115033
118,If Lucy Fell (1996),If Lucy Fell,tt0116606
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",tt0114536
120,Race the Sun (1996),Race the Sun,tt0117427
121,"Boys of St. Vincent, The (1993)","Boys of St. Vincent, The",tt0106473
122,Boomerang (1992),Boomerang,tt0103859
123,Chungking Express (1994),Chungking Express,tt0109424
125,Flirting With Disaster (1996),Flirting With Disaster,tt0116324
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",tt6823194
128,Jupiter's Wife (1994),Jupiter's Wife,tt0110217
129,Pie in the Sky (1995),Pie in the Sky,tt0106102
130,Angela (1995),Angela,tt0112364
131,Frankie Starlight (1995),Frankie Starlight,tt0113107
132,Jade (1995),Jade,tt0113451
133,Nueba Yol (1995),Nueba Yol,tt0114015
134,Sonic Outlaws (1995),Sonic Outlaws,tt0114500
135,Down Periscope (1996),Down Periscope,tt0116130
136,From the Journals of Jean Seberg (1995),From the Journals of Jean Seberg,tt0113125
137,Man of the Year (1995),Man of the Year,tt0319803
138,"Neon Bible, The (1995)","Neon Bible, The",tt0113952
139,Target (1995),Target,tt22507484
140,Up Close and Personal (1996),Up Close and Personal,tt0118055
141,"Birdcage, The (1996)","Birdcage, The",tt0115685
142,Shadows (Cienie) (1988),Shadows (Cienie),tt0127276
143,Gospa (1995),Gospa,tt0113200
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",tt0112585
145,Bad Boys (1995),Bad Boys,tt0112442
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",tt0112342
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",tt0112461
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",tt0112427
149,Amateur (1994),Amateur,tt0899043
150,Apollo 13 (1995),Apollo 13,tt0112384
151,Rob Roy (1995),Rob Roy,tt0114287
152,"Addiction, The (1995)","Addiction, The",tt0112288
153,Batman Forever (1995),Batman Forever,tt0112462
154,Belle de jour (1967),Belle de jour,tt0061395
155,Beyond Rangoon (1995),Beyond Rangoon,tt0112495
156,Blue in the Face (1995),Blue in the Face,tt0112541
157,Canadian Bacon (1994),Canadian Bacon,tt0109370
158,Casper (1995),Casper,tt0112642
159,Clockers (1995),Clockers,tt0112688
160,Congo (1995),Congo,tt0112715
161,Crimson Tide (1995),Crimson Tide,tt0112740
162,Crumb (1994),Crumb,tt0109508
163,Desperado (1995),Desperado,tt0112851
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,tt0112857
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,tt0112864
166,"Doom Generation, The (1995)","Doom Generation, The",tt0112887
167,Feast of July (1995),Feast of July,tt0113044
168,First Knight (1995),First Knight,tt0113071
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,tt0113114
170,Hackers (1995),Hackers,tt0113243
171,Jeffrey (1995),Jeffrey,tt0113464
172,Johnny Mnemonic (1995),Johnny Mnemonic,tt0113481
173,Judge Dredd (1995),Judge Dredd,tt0113492
174,Jury Duty (1995),Jury Duty,tt22074164
175,Kids (1995),Kids,tt0113540
176,Living in Oblivion (1995),Living in Oblivion,tt0113677
177,Lord of Illusions (1995),Lord of Illusions,tt0113690
178,Love & Human Remains (1993),Love & Human Remains,tt0107447
179,Mad Love (1995),Mad Love,tt0113729
180,Mallrats (1995),Mallrats,tt0113749
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,tt0113820
182,Moonlight and Valentino (1995),Moonlight and Valentino,tt0113851
183,Mute Witness (1994),Mute Witness,tt0110604
184,Nadja (1994),Nadja,tt0110620
185,"Net, The (1995)","Net, The",tt0113957
186,Nine Months (1995),Nine Months,tt0113986
187,Party Girl (1995),Party Girl,tt0114095
188,"Prophecy, The (1995)","Prophecy, The",tt0114194
189,Reckless (1995),Reckless,tt3346224
190,Safe (1995),Safe,tt7902072
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",tt0114345
192,"Show, The (1995)","Show, The",tt0120382
193,Showgirls (1995),Showgirls,tt0114436
194,Smoke (1995),Smoke,tt24163532
195,Something to Talk About (1995),Something to Talk About,tt0114496
196,Species (1995),Species,tt0114508
197,"Stars Fell on Henrietta, The (1995)","Stars Fell on Henrietta, The",tt0114534
198,Strange Days (1995),Strange Days,tt0114558
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",tt0058450
200,"Tie That Binds, The (1995)","Tie That Binds, The",tt0467075
201,Three Wishes (1995),Three Wishes,tt0114663
202,Total Eclipse (1995),Total Eclipse,tt0114702
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",tt0114682
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,tt16857064
205,Unstrung Heroes (1995),Unstrung Heroes,tt0114798
206,Unzipped (1995),Unzipped,tt0114805
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",tt0114887
208,Waterworld (1995),Waterworld,tt0114898
209,White Man's Burden (1995),White Man's Burden,tt0114928
210,Wild Bill (1995),Wild Bill,tt1795702
211,"Browning Version, The (1994)","Browning Version, The",tt0109340
212,Bushwhacked (1995),Bushwhacked,tt0112602
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Burnt By the Sun (Utomlyonnye solntsem),tt0111579
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),tt0110882
215,Before Sunrise (1995),Before Sunrise,tt0112471
216,Billy Madison (1995),Billy Madison,tt0112508
217,"Babysitter, The (1995)","Babysitter, The",tt4225622
218,Boys on the Side (1995),Boys on the Side,tt0112571
219,"Cure, The (1995)","Cure, The",tt0112757
220,Castle Freak (1995),Castle Freak,tt0112643
222,Circle of Friends (1995),Circle of Friends,tt0112679
223,Clerks (1994),Clerks,tt0109445
224,Don Juan DeMarco (1995),Don Juan DeMarco,tt0112883
225,Disclosure (1994),Disclosure,tt0109635
226,Dream Man (1995),Dream Man,tt0096316
227,Drop Zone (1994),Drop Zone,tt0109676
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,tt0112854
229,Death and the Maiden (1994),Death and the Maiden,tt0109579
230,Dolores Claiborne (1994),Dolores Claiborne,tt0109642
231,Dumb & Dumber (1994),Dumb & Dumber,tt0109686
232,Eat Drink Man Woman (1994),Eat Drink Man Woman,tt32176291
233,Exotica (1994),Exotica,tt0109759
234,Exit to Eden (1994),Exit to Eden,tt0109758
235,Ed Wood (1994),Ed Wood,tt0109707
236,French Kiss (1995),French Kiss,tt0113117
237,Forget Paris (1995),Forget Paris,tt0113097
238,Far From Home: The Adventures of Yellow Dog (1995),Far From Home: The Adventures of Yellow Dog,tt0113028
239,"Goofy Movie, A (1995)","Goofy Movie, A",tt0113198
240,Hideaway (1995),Hideaway,tt0113303
241,Fluke (1995),Fluke,tt0113089
242,Farinelli: il castrato (1994),Farinelli: il castrato,tt0109771
243,Gordy (1995),Gordy,tt0113199
244,Gumby: The Movie (1995),Gumby: The Movie,tt0113234
245,"Glass Shield, The (1994)","Glass Shield, The",tt0109906
246,Hoop Dreams (1994),Hoop Dreams,tt0110057
247,Heavenly Creatures (1994),Heavenly Creatures,tt0110005
248,Houseguest (1994),Houseguest,tt0110066
249,Immortal Beloved (1994),Immortal Beloved,tt0110116
250,Heavyweights (1994),Heavyweights,tt0110006
251,"Hunted, The (1995)","Hunted, The",tt0269347
252,I.Q. (1994),I.Q.,tt0110099
253,Interview with the Vampire (1994),Interview with the Vampire,tt0110148
254,Jefferson in Paris (1995),Jefferson in Paris,tt0113463
255,"Jerky Boys, The (1994)","Jerky Boys, The",tt0110189
256,Junior (1994),Junior,tt0110216
257,Just Cause (1995),Just Cause,tt0113501
258,"Kid in King Arthur's Court, A (1995)","Kid in King Arthur's Court, A",tt0113538
259,Kiss of Death (1995),Kiss of Death,tt0113552
260,Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode IV - A New Hope,tt8933914
261,Little Women (1994),Little Women,tt3281548
262,"Little Princess, A (1995)","Little Princess, A",tt0113670
263,Ladybird Ladybird (1994),Ladybird Ladybird,tt0110296
264,"Enfer, L' (1994)","Enfer, L'",tt0116367
265,Like Water for Chocolate (Como agua para chocolate) (1992),Like Water for Chocolate (Como agua para chocolate),tt32861101
266,Legends of the Fall (1994),Legends of the Fall,tt0110322
267,Major Payne (1994),Major Payne,tt0110443
268,Little Odessa (1994),Little Odessa,tt0110365
269,My Crazy Life (Mi vida loca) (1993),My Crazy Life (Mi vida loca),tt12972762
270,Love Affair (1994),Love Affair,tt5471184
271,Losing Isaiah (1995),Losing Isaiah,tt0113691
272,"Madness of King George, The (1994)","Madness of King George, The",tt0110428
273,Mary Shelley's Frankenstein (1994),Mary Shelley's Frankenstein,tt0109836
274,Man of the House (1995),Man of the House,tt0331933
275,Mixed Nuts (1994),Mixed Nuts,tt0110538
276,Milk Money (1994),Milk Money,tt0110516
277,Miracle on 34th Street (1994),Miracle on 34th Street,tt0070395
278,Miami Rhapsody (1995),Miami Rhapsody,tt0113808
279,My Family (1995),My Family,tt0113896
280,Murder in the First (1995),Murder in the First,tt2402061
281,Nobody's Fool (1994),Nobody's Fool,tt0110684
282,Nell (1994),Nell,tt0110638
283,New Jersey Drive (1995),New Jersey Drive,tt0113967
284,New York Cop (1996),New York Cop,tt0117169
285,Beyond Bedlam (1993),Beyond Bedlam,tt0106402
286,Nemesis 2: Nebula (1995),Nemesis 2: Nebula,tt0113948
287,Nina Takes a Lover (1994),Nina Takes a Lover,tt0110671
288,Natural Born Killers (1994),Natural Born Killers,tt0110632
289,Only You (1994),Only You,tt0110737
290,Once Were Warriors (1994),Once Were Warriors,tt0110729
291,Poison Ivy II (1995),Poison Ivy II,tt0114151
292,Outbreak (1995),Outbreak,tt27791972
293,"Professional, The (a.k.a. Leon: The Professional) (1994)","Professional, The (a.k.a. Leon: The Professional)",tt0110413
294,"Perez Family, The (1995)","Perez Family, The",tt0114113
296,Pulp Fiction (1994),Pulp Fiction,tt0110912
297,Panther (1995),Panther,tt1825683
298,Pushing Hands (1992),Pushing Hands,tt0105652
299,Priest (1994),Priest,tt0822847
300,Quiz Show (1994),Quiz Show,tt0110932
301,Picture Bride (1995),Picture Bride,tt0114129
302,Queen Margot (La Reine Margot) (1994),Queen Margot (La Reine Margot),tt0110963
303,"Quick and the Dead, The (1995)","Quick and the Dead, The",tt0114214
304,Roommates (1995),Roommates,tt4842652
305,Ready to Wear (Pret-A-Porter) (1994),Ready to Wear (Pret-A-Porter),tt26368822
306,Three Colors: Red (1994),Three Colors: Red,tt0111495
307,Three Colors: Blue (1993),Three Colors: Blue,tt0108394
308,Three Colors: White (1994),Three Colors: White,tt0111507
309,"Red Firecracker, Green Firecracker (1994)","Red Firecracker, Green Firecracker",tt0110769
310,Rent-a-Kid (1995),Rent-a-Kid,tt0114268
311,Relative Fear (1994),Relative Fear,tt0110965
312,Stuart Saves His Family (1995),Stuart Saves His Family,tt0114571
313,"Swan Princess, The (1994)","Swan Princess, The",tt0111333
314,"Secret of Roan Inish, The (1994)","Secret of Roan Inish, The",tt0111112
315,"Specialist, The (1994)","Specialist, The",tt0111255
316,Stargate (1994),Stargate,tt0111282
317,"Santa Clause, The (1994)","Santa Clause, The",tt0111070
318,"Shawshank Redemption, The (1994)","Shawshank Redemption, The",tt0111161
319,Shallow Grave (1994),Shallow Grave,tt0111149
320,Suture (1993),Suture,tt0108260
321,Strawberry and Chocolate (Fresa y chocolate) (1993),Strawberry and Chocolate (Fresa y chocolate),tt0106966
322,Swimming with Sharks (1995),Swimming with Sharks,tt11343686
324,"Sum of Us, The (1994)","Sum of Us, The",tt0111309
325,National Lampoon's Senior Trip (1995),National Lampoon's Senior Trip,tt26356587
326,To Live (Huozhe) (1994),To Live (Huozhe),tt33971573
327,Tank Girl (1995),Tank Girl,tt0114614
328,Tales From the Crypt Presents: Demon Knight (1995),Tales From the Crypt Presents: Demon Knight,tt36694765
329,Star Trek: Generations (1994),Star Trek: Generations,tt0111280
330,Tales from the Hood (1995),Tales from the Hood,tt0114609
331,Tom & Viv (1994),Tom & Viv,tt0111454
332,Village of the Damned (1995),Village of the Damned,tt0054443
333,Tommy Boy (1995),Tommy Boy,tt0114694
334,Vanya on 42nd Street (1994),Vanya on 42nd Street,tt0111590
335,"Underneath, The (1995)","Underneath, The",tt0114788
336,"Walking Dead, The (1995)","Walking Dead, The",tt1520211
337,What's Eating Gilbert Grape (1993),What's Eating Gilbert Grape,tt0108550
338,Virtuosity (1995),Virtuosity,tt0114857
339,While You Were Sleeping (1995),While You Were Sleeping,tt0114924
340,"War, The (1994)","War, The",tt9777666
341,Double Happiness (1994),Double Happiness,tt0109655
342,Muriel's Wedding (1994),Muriel's Wedding,tt0110598
343,"Baby-Sitters Club, The (1995)","Baby-Sitters Club, The",tt8690518
344,Ace Ventura: Pet Detective (1994),Ace Ventura: Pet Detective,tt0109040
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Adventures of Priscilla, Queen of the Desert, The",tt0109045
346,Backbeat (1993),Backbeat,tt0106339
347,Bitter Moon (1992),Bitter Moon,tt0104779
348,Bullets Over Broadway (1994),Bullets Over Broadway,tt0109348
349,Clear and Present Danger (1994),Clear and Present Danger,tt0109444
350,"Client, The (1994)","Client, The",tt0109446
351,"Corrina, Corrina (1994)","Corrina, Corrina",tt0109484
352,Crooklyn (1994),Crooklyn,tt0109504
353,"Crow, The (1994)","Crow, The",tt1340094
354,Cobb (1994),Cobb,tt0109450
355,"Flintstones, The (1994)","Flintstones, The",tt0109813
356,Forrest Gump (1994),Forrest Gump,tt0109830
357,Four Weddings and a Funeral (1994),Four Weddings and a Funeral,tt0109831
358,Higher Learning (1995),Higher Learning,tt0113305
359,I Like It Like That (1994),I Like It Like That,tt0110091
360,I Love Trouble (1994),I Love Trouble,tt0110093
361,It Could Happen to You (1994),It Could Happen to You,tt0110167
362,"Jungle Book, The (1994)","Jungle Book, The",tt3040964
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)","Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)",tt0107472
364,"Lion King, The (1994)","Lion King, The",tt13186482
365,Little Buddha (1993),Little Buddha,tt0107426
366,Wes Craven's New Nightmare (1994),Wes Craven's New Nightmare,tt0111686
367,"Mask, The (1994)","Mask, The",tt0110475
368,Maverick (1994),Maverick,tt0110478
369,Mrs. Parker and the Vicious Circle (1994),Mrs. Parker and the Vicious Circle,tt0110588
370,Naked Gun 33 1/3: The Final Insult (1994),Naked Gun 33 1/3: The Final Insult,tt0110622
371,"Paper, The (1994)","Paper, The",tt32159809
372,Reality Bites (1994),Reality Bites,tt0110950
373,Red Rock West (1992),Red Rock West,tt0105226
374,Richie Rich (1994),Richie Rich,tt0110989
375,Safe Passage (1994),Safe Passage,tt0111054
376,"River Wild, The (1994)","River Wild, The",tt0110997
377,Speed (1994),Speed,tt0111257
378,Speechless (1994),Speechless,tt5592146
379,Timecop (1994),Timecop,tt0111438
380,True Lies (1994),True Lies,tt0111503
381,When a Man Loves a Woman (1994),When a Man Loves a Woman,tt0111693
382,Wolf (1994),Wolf,tt4216984
383,Wyatt Earp (1994),Wyatt Earp,tt0111756
384,Bad Company (1995),Bad Company,tt0280486
385,"Man of No Importance, A (1994)","Man of No Importance, A",tt0110455
386,S.F.W. (1994),S.F.W.,tt0111048
387,"Low Down Dirty Shame, A (1994)","Low Down Dirty Shame, A",tt0110399
388,Boys Life (1995),Boys Life,tt8323628
389,"Colonel Chabert, Le (1994)","Colonel Chabert, Le",tt0109454
390,Faster Pussycat! Kill! Kill! (1965),Faster Pussycat! Kill! Kill!,tt0059170
391,Jason's Lyric (1994),Jason's Lyric,tt0110186
392,"Secret Adventures of Tom Thumb, The (1993)","Secret Adventures of Tom Thumb, The",tt0108069
393,Street Fighter (1994),Street Fighter,tt0111301
394,Coldblooded (1995),Coldblooded,tt0112702
395,Desert Winds (1995),Desert Winds,tt0112849
396,Fall Time (1995),Fall Time,tt0113014
397,"Fear, The (1995)","Fear, The",tt3743822
398,Frank and Ollie (1995),Frank and Ollie,tt0113104
399,Girl in the Cadillac (1995),Girl in the Cadillac,tt0113173
400,Homage (1995),Homage,tt11138512
401,Mirage (1995),Mirage,tt6908274
402,Open Season (1996),Open Season,tt0400717
403,Two Crimes (1995),Two Crimes,tt6142314
404,Brother Minister: The Assassination of Malcolm X (1994),Brother Minister: The Assassination of Malcolm X,tt0109339
406,Federal Hill (1994),Federal Hill,tt0109785
407,In the Mouth of Madness (1995),In the Mouth of Madness,tt0113409
408,8 Seconds (1994),8 Seconds,tt0109021
409,Above the Rim (1994),Above the Rim,tt0109035
410,Addams Family Values (1993),Addams Family Values,tt0106220
411,You So Crazy (1994),You So Crazy,tt0111804
412,"Age of Innocence, The (1993)","Age of Innocence, The",tt0106226
413,Airheads (1994),Airheads,tt0109068
414,"Air Up There, The (1994)","Air Up There, The",tt0109067
415,Another Stakeout (1993),Another Stakeout,tt0106292
416,Bad Girls (1994),Bad Girls,tt0109198
417,Barcelona (1994),Barcelona,tt35775356
418,Being Human (1993),Being Human,tt1349938
419,"Beverly Hillbillies, The (1993)","Beverly Hillbillies, The",tt0106400
420,Beverly Hills Cop III (1994),Beverly Hills Cop III,tt0109254
421,Black Beauty (1994),Black Beauty,tt0109279
422,Blink (1994),Blink,tt14858658
423,Blown Away (1994),Blown Away,tt0109303
424,Blue Chips (1994),Blue Chips,tt0109305
425,Blue Sky (1994),Blue Sky,tt0109306
426,Body Snatchers (1993),Body Snatchers,tt0106452
427,Boxing Helena (1993),Boxing Helena,tt0106471
428,"Bronx Tale, A (1993)","Bronx Tale, A",tt0106489
429,Cabin Boy (1994),Cabin Boy,tt0109361
430,Calendar Girl (1993),Calendar Girl,tt0337909
431,Carlito's Way (1993),Carlito's Way,tt0106519
432,City Slickers II: The Legend of Curly's Gold (1994),City Slickers II: The Legend of Curly's Gold,tt0109439
433,Clean Slate (1994),Clean Slate,tt0109443
434,Cliffhanger (1993),Cliffhanger,tt0106582
435,Coneheads (1993),Coneheads,tt0106598
436,Color of Night (1994),Color of Night,tt0109456
437,Cops and Robbersons (1994),Cops and Robbersons,tt0109480
438,"Cowboy Way, The (1994)","Cowboy Way, The",tt0109493
439,Dangerous Game (1993),Dangerous Game,tt0106660
440,Dave (1993),Dave,tt0106673
441,Dazed and Confused (1993),Dazed and Confused,tt0106677
442,Demolition Man (1993),Demolition Man,tt0106697
443,"Endless Summer 2, The (1994)","Endless Summer 2, The",tt0109729
444,Even Cowgirls Get the Blues (1993),Even Cowgirls Get the Blues,tt0106834
445,Fatal Instinct (1993),Fatal Instinct,tt0106873
446,Farewell My Concubine (1993),Farewell My Concubine,tt0106332
447,"Favor, The (1994)","Favor, The",tt0109783
448,Fearless (1993),Fearless,tt0106881
449,Fear of a Black Hat (1993),Fear of a Black Hat,tt0106880
450,With Honors (1994),With Honors,tt0111732
451,Flesh and Bone (1993),Flesh and Bone,tt3507484
452,Widows' Peak (1994),Widows' Peak,tt0111712
453,For Love or Money (1993),For Love or Money,tt0106941
454,"Firm, The (1993)","Firm, The",tt0106918
455,Free Willy (1993),Free Willy,tt0106965
456,Fresh (1994),Fresh,tt13403046
457,"Fugitive, The (1993)","Fugitive, The",tt0106977
458,Geronimo: An American Legend (1993),Geronimo: An American Legend,tt0107004
459,"Getaway, The (1994)","Getaway, The",tt0068638
460,Getting Even with Dad (1994),Getting Even with Dad,tt0109891
461,Go Fish (1994),Go Fish,tt0109913
462,"Good Man in Africa, A (1994)","Good Man in Africa, A",tt0109920
463,Guilty as Sin (1993),Guilty as Sin,tt0107057
464,Hard Target (1993),Hard Target,tt0107076
465,Heaven & Earth (1993),Heaven & Earth,tt0107096
466,Hot Shots! Part Deux (1993),Hot Shots! Part Deux,tt0107144
467,Live Nude Girls (1995),Live Nude Girls,tt0113674
468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","Englishman Who Went Up a Hill, But Came Down a Mountain, The",tt0112966
469,"House of the Spirits, The (1993)","House of the Spirits, The",tt0107151
470,House Party 3 (1994),House Party 3,tt0110064
471,"Hudsucker Proxy, The (1994)","Hudsucker Proxy, The",tt0110074
472,I'll Do Anything (1994),I'll Do Anything,tt0110097
473,In the Army Now (1994),In the Army Now,tt0110123
474,In the Line of Fire (1993),In the Line of Fire,tt0107206
475,In the Name of the Father (1993),In the Name of the Father,tt0107207
476,"Inkwell, The (1994)","Inkwell, The",tt0110137
477,What's Love Got to Do with It? (1993),What's Love Got to Do with It?,tt13430858
478,Jimmy Hollywood (1994),Jimmy Hollywood,tt0110197
479,Judgment Night (1993),Judgment Night,tt0107286
480,Jurassic Park (1993),Jurassic Park,tt0107290
481,Kalifornia (1993),Kalifornia,tt0107302
